id,text,gold_label,category,condition,run_number,raw_response,parsed_label
1,@UnMondeHistoire chalut :),Positive,clear,few_shot,1,Positive,Positive
2,Can't say I hate it -- it's actually pretty solid.,Positive,ambiguous,few_shot,1,Neutral,Unclear
2,Can't say I hate it -- it's actually pretty solid.,Positive,ambiguous,few_shot,2,Neutral,Unclear
2,Can't say I hate it -- it's actually pretty solid.,Positive,ambiguous,few_shot,3,Neutral,Unclear
3,@derekklahn You cant hold another week? September 21st. :-((,Negative,clear,few_shot,1,Negative,Negative
3,@derekklahn You cant hold another week? September 21st. :-((,Negative,clear,few_shot,2,Negative,Negative
3,@derekklahn You cant hold another week? September 21st. :-((,Negative,clear,few_shot,3,Negative,Negative
4,"Oh great, another Monday, just what I needed.",Negative,ambiguous,few_shot,1,Negative,Negative
4,"Oh great, another Monday, just what I needed.",Negative,ambiguous,few_shot,2,Negative,Negative
4,"Oh great, another Monday, just what I needed.",Negative,ambiguous,few_shot,3,Negative,Negative
5,"I can't complain, this exceeded expectations.",Positive,ambiguous,few_shot,1,Positive,Positive
6,"Nice, another 'brief' meeting that ran two hours over.",Negative,ambiguous,few_shot,1,Negative,Negative
7,@WforWoman  9) shopping will be like fries without ketchup. Tasteless :(  #WSaleLove,Negative,clear,few_shot,1,Negative,Negative
8,"Oh sure, because customer support has been SO responsive.",Negative,ambiguous,few_shot,1,Positive,Positive
9,@Rinerh -hugs- I really wish I could love :( I miss you.,Negative,clear,few_shot,1,Positive,Positive
10,I don't think this could have gone any better.,Positive,ambiguous,few_shot,1,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,few_shot,1,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,few_shot,2,Positive,Positive
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear,few_shot,3,Positive,Positive
12,"I wasn't happy before, and this didn't help at all.",Negative,ambiguous,few_shot,1,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,few_shot,1,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,few_shot,2,Negative,Negative
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear,few_shot,3,Negative,Negative
14,:( :( :( when pay day doesn't make you any less poor :( :( :(,Negative,clear,few_shot,1,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,few_shot,1,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,few_shot,2,Negative,Negative
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear,few_shot,3,Negative,Negative
16,"Wow, my flight got delayed again, love that for me.",Negative,ambiguous,few_shot,1,Negative,Negative
17,Tomorrow at the #GoldCoast :) http://t.co/yRat44jWAy,Positive,clear,few_shot,1,Positive,Positive
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,few_shot,1,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,few_shot,2,Negative,Negative
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear,few_shot,3,Negative,Negative
19,Love how the update broke the one feature I actually used.,Negative,ambiguous,few_shot,1,Negative,Negative
20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,Negative,clear,few_shot,1,Positive,Positive
21,what usually happens :( https://t.co/6o3ZgNOnvh,Negative,clear,few_shot,1,Negative,Negative
22,@fxckedbutbands you look good in that outfit :),Positive,clear,few_shot,1,Positive,Positive
23,Grande :)  https://t.co/gsaaxNpR8u,Positive,clear,few_shot,1,Positive,Positive
24,@IrlyanaVL mind to follow back? :),Positive,clear,few_shot,1,Positive,Positive
25,@my_nameis_dan Download only isn't it? :(,Negative,clear,few_shot,1,Negative,Negative
26,@lovemybooksUK It's such a good idea to share excellent book titles! What would we do without them all? Keep up the good work :),Positive,clear,few_shot,1,Positive,Positive
27,This is sick! Best purchase in a while.,Positive,ambiguous,few_shot,1,Positive,Positive
28,"This app doesn't crash anymore, finally something that works.",Positive,ambiguous,few_shot,1,Positive,Positive
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,few_shot,1,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,few_shot,2,Negative,Negative
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous,few_shot,3,Negative,Negative
30,@MahamK97   I was just tired yesterday   Choroo ga nahi us ko :D,Positive,clear,few_shot,1,Negative,Negative
31,@aIcouholic ahh!! thank u love :D,Positive,clear,few_shot,1,Positive,Positive
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,few_shot,1,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,few_shot,2,Negative,Negative
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous,few_shot,3,Negative,Negative
33,"It's not perfect, but I really can't find much to complain about.",Positive,ambiguous,few_shot,1,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,few_shot,1,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,few_shot,2,Positive,Positive
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous,few_shot,3,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,few_shot,1,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,few_shot,2,Positive,Positive
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear,few_shot,3,Positive,Positive
36,"The reviews undersell it, this is genuinely great.",Positive,ambiguous,few_shot,1,Positive,Positive
37,"Not gonna lie, this slaps.",Positive,ambiguous,few_shot,1,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,few_shot,2,Negative,Negative
37,"Not gonna lie, this slaps.",Positive,ambiguous,few_shot,3,Negative,Negative
