id,text,gold_label,category
1,@UnMondeHistoire chalut :),Positive,clear
2,Can't say I hate it -- it's actually pretty solid.,Positive,ambiguous
3,@derekklahn You cant hold another week? September 21st. :-((,Negative,clear
4,"Oh great, another Monday, just what I needed.",Negative,ambiguous
5,"I can't complain, this exceeded expectations.",Positive,ambiguous
6,"Nice, another 'brief' meeting that ran two hours over.",Negative,ambiguous
7,@WforWoman  9) shopping will be like fries without ketchup. Tasteless :(  #WSaleLove,Negative,clear
8,"Oh sure, because customer support has been SO responsive.",Negative,ambiguous
9,@Rinerh -hugs- I really wish I could love :( I miss you.,Negative,clear
10,I don't think this could have gone any better.,Positive,ambiguous
11,Happy happy birthday TO ME!!  Happy happy birthday To ME!! :) https://t.co/2cgXNdP00h,Positive,clear
12,"I wasn't happy before, and this didn't help at all.",Negative,ambiguous
13,@bangtanthough but i'm waiting for sumer repackage :'D so i have no money to buy this :(,Negative,clear
14,:( :( :( when pay day doesn't make you any less poor :( :( :(,Negative,clear
15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),Positive,clear
16,"Wow, my flight got delayed again, love that for me.",Negative,ambiguous
17,Tomorrow at the #GoldCoast :) http://t.co/yRat44jWAy,Positive,clear
18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,Positive,clear
19,Love how the update broke the one feature I actually used.,Negative,ambiguous
20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,Negative,clear
21,what usually happens :( https://t.co/6o3ZgNOnvh,Negative,clear
22,@fxckedbutbands you look good in that outfit :),Positive,clear
23,Grande :)  https://t.co/gsaaxNpR8u,Positive,clear
24,@IrlyanaVL mind to follow back? :),Positive,clear
25,@my_nameis_dan Download only isn't it? :(,Negative,clear
26,@lovemybooksUK It's such a good idea to share excellent book titles! What would we do without them all? Keep up the good work :),Positive,clear
27,This is sick! Best purchase in a while.,Positive,ambiguous
28,"This app doesn't crash anymore, finally something that works.",Positive,ambiguous
29,"Fantastic, the app crashed again right before the deadline.",Negative,ambiguous
30,@MahamK97   I was just tired yesterday   Choroo ga nahi us ko :D,Positive,clear
31,@aIcouholic ahh!! thank u love :D,Positive,clear
32,"Great, now the wifi is down too. Perfect timing.",Negative,ambiguous
33,"It's not perfect, but I really can't find much to complain about.",Positive,ambiguous
34,"I'm not even mad, this turned out better than planned.",Positive,ambiguous
35,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,clear
36,"The reviews undersell it, this is genuinely great.",Positive,ambiguous
37,"Not gonna lie, this slaps.",Positive,ambiguous
38,Nothing says 'relaxing weekend' like a broken washing machine.,Negative,ambiguous
39,"I don't think the movie is terrible, it's actually much worse than that.",Negative,ambiguous
40,I want a flipping Belgium waffle thrown in my face :(,Negative,clear
41,"@SachinKalbag Ah Sachin, why do you bring up unimportant stuff like context and dampen @saliltripathi 's excitement! :-)",Positive,clear
42,@mrandmrsMCT no way I missed it too :(,Negative,clear
43,"Not bad at all, actually really impressed.",Positive,ambiguous
44,wonho reminds me of someone &gt;:( i just cant put my finger to it,Negative,clear
45,I guess losing my luggage really 'made my trip'.,Negative,ambiguous
46,so I was driving home rn and I almost ran over a coyote :( shit scared the fuck outta me.,Negative,clear
47,* ✫ ✧ ˚ @Louis_Tomlinson ✧ · ✵ ⊹ Thank you for always putting a smile on my face Mind following me? :) Have a nice day x 1707,Positive,clear
48,@StevenLDN frightening case. It really gets to you :(,Negative,clear
49,"@rebeccalowrie No, it's not just you.  Twitter have decided to take that feature away :-(",Negative,clear
50,The service was far from disappointing.,Positive,ambiguous
51,Who knew something so cheap could be this good.,Positive,ambiguous
52,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/lrUwXe378i.,Positive,clear
53,Contact us today and we'll get you out of the city into a 'hotbed' in a bush somewhere :) #ClassicAssures,Positive,clear
54,Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/xxlXs6xYwe.,Positive,clear
55,@iansomerhalder here in Spain is morning :) Good morning Ian!,Positive,clear
56,Due to rain the show this morning has been cancelled. Sorry if you made the trip in they canceled very last minute. Boo to the rain :-(,Negative,clear
57,This is not the disaster I feared -- it's a bigger one.,Negative,ambiguous
58,@holybatgirl I direct your attention to ... AWESOME-O! :),Positive,clear
59,"I wasn't expecting much, but wow, pleasantly surprised.",Positive,ambiguous
60,@HiddlesSupport So much :(,Negative,clear
61,@stumac1974 Urquhart Castle: http://t.co/bSgiJFpICc Find all events here: http://t.co/cCS5QGfkk7 Hope that helps :),Positive,clear
62,"The food wasn't good, and the service wasn't much better either.",Negative,ambiguous
63,Baby :( http://t.co/UR8ZwngzJZ,Negative,clear
64,I'm sure the extra fees were 'totally worth it'.,Negative,ambiguous
65,"It's not the worst thing I've ever eaten, actually quite good.",Positive,ambiguous
66,"Whatsapp with roommate  ""Do you want anything from Paris?"" ""A French man :)""  LOL sure I'll just head to the park and grab one.",Positive,clear
67,"Didn't think I'd say this about a Monday, but today was great.",Positive,ambiguous
68,This fucking bad link isn't working and I can't watch the match! :(,Negative,clear
69,my mum decides to walk in and scold me for not cleaning my room just as i sat down and chilled :(,Negative,clear
70,@Vequafied I'm bored :(,Negative,clear
71,NO STOP I CANT GO :( :( :(  https://t.co/JLrt1bEIrY,Negative,clear
72,Its 5am &amp; I haven't slept :(,Negative,clear
73,apparently 9muses' performance was cut today &gt;:(,Negative,clear
74,@TimInTraining @chris_slight78 @ThermoGrenade @rossario @anj100 its #CheatDay and I've ran out of protein :(,Negative,clear
75,"Sure, take your time, it's not like I have anywhere to be.",Negative,ambiguous
76,Can't say I'm surprised the product broke after one use.,Negative,ambiguous
77,All i want is some chocolate and a lucozade :( :( :( :( :(,Negative,clear
78,@chelsea_acker WHOOP WHOOP! :-) #quacketyquack http://t.co/Or9w6eqCiM,Positive,clear
79,When people tell me I have good taste in music :D ^.^,Positive,clear
80,"Just what I always wanted, more spam emails.",Negative,ambiguous
81,@candinam Gals also bend down in one knees to put a men down and bend down in two knees to pleasure a men up to the heaven :),Positive,clear
