method,id,text,category,gold_label,prediction,raw_response
VADER,3,@derekklahn You cant hold another week? September 21st. :-((,clear,Negative,Positive,
VADER,4,"Oh great, another Monday, just what I needed.",ambiguous,Negative,Positive,
VADER,6,"Nice, another 'brief' meeting that ran two hours over.",ambiguous,Negative,Positive,
VADER,7,@WforWoman  9) shopping will be like fries without ketchup. Tasteless :(  #WSaleLove,clear,Negative,Positive,
VADER,8,"Oh sure, because customer support has been SO responsive.",ambiguous,Negative,Positive,
VADER,9,@Rinerh -hugs- I really wish I could love :( I miss you.,clear,Negative,Positive,
VADER,16,"Wow, my flight got delayed again, love that for me.",ambiguous,Negative,Positive,
VADER,19,Love how the update broke the one feature I actually used.,ambiguous,Negative,Positive,
VADER,25,@my_nameis_dan Download only isn't it? :(,clear,Negative,Positive,
VADER,29,"Fantastic, the app crashed again right before the deadline.",ambiguous,Negative,Positive,
VADER,32,"Great, now the wifi is down too. Perfect timing.",ambiguous,Negative,Positive,
VADER,33,"It's not perfect, but I really can't find much to complain about.",ambiguous,Positive,Negative,
VADER,44,wonho reminds me of someone &gt;:( i just cant put my finger to it,clear,Negative,Positive,
VADER,50,The service was far from disappointing.,ambiguous,Positive,Negative,
VADER,52,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/lrUwXe378i.,clear,Positive,Negative,
VADER,54,Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/xxlXs6xYwe.,clear,Positive,Negative,
VADER,57,This is not the disaster I feared -- it's a bigger one.,ambiguous,Negative,Positive,
VADER,64,I'm sure the extra fees were 'totally worth it'.,ambiguous,Negative,Positive,
VADER,71,NO STOP I CANT GO :( :( :(  https://t.co/JLrt1bEIrY,clear,Negative,Positive,
VADER,72,Its 5am &amp; I haven't slept :(,clear,Negative,Positive,
VADER,75,"Sure, take your time, it's not like I have anywhere to be.",ambiguous,Negative,Positive,
VADER,86,"Yeah, because waiting three hours on hold is such a treat.",ambiguous,Negative,Positive,
VADER,88,"@kendrahatesu FOLLOWED ME THANKS, AND @justinbieber PLEASE FOLLOWED ME TOO :(",clear,Negative,Positive,
VADER,90,This is exactly the kind of 'quality' I expected.,ambiguous,Negative,Positive,
VADER,93,Thankyou sa treat kanina and sorry sa breakdown bc of Sir Mags :(( @ZAIRERR,clear,Negative,Positive,
Zero-shot,8,"Oh sure, because customer support has been SO responsive.",ambiguous,Negative,Positive,Positive
Zero-shot,15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),clear,Positive,Negative,Negative
Zero-shot,18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,clear,Positive,Negative,Negative
Zero-shot,19,Love how the update broke the one feature I actually used.,ambiguous,Negative,Positive,Positive
Zero-shot,20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,clear,Negative,Positive,Positive
Zero-shot,37,"Not gonna lie, this slaps.",ambiguous,Positive,Negative,Negative
Zero-shot,41,"@SachinKalbag Ah Sachin, why do you bring up unimportant stuff like context and dampen @saliltripathi 's excitement! :-)",clear,Positive,Negative,Negative
Zero-shot,64,I'm sure the extra fees were 'totally worth it'.,ambiguous,Negative,Positive,Positive
Zero-shot,66,"Whatsapp with roommate  ""Do you want anything from Paris?"" ""A French man :)""  LOL sure I'll just head to the park and grab one.",clear,Positive,Negative,Negative
Zero-shot,75,"Sure, take your time, it's not like I have anywhere to be.",ambiguous,Negative,Positive,Positive
Zero-shot,81,@candinam Gals also bend down in one knees to put a men down and bend down in two knees to pleasure a men up to the heaven :),clear,Positive,Negative,Negative
Zero-shot,90,This is exactly the kind of 'quality' I expected.,ambiguous,Negative,Positive,Positive
Few-shot,2,Can't say I hate it -- it's actually pretty solid.,ambiguous,Positive,Unclear,Neutral
Few-shot,8,"Oh sure, because customer support has been SO responsive.",ambiguous,Negative,Positive,Positive
Few-shot,9,@Rinerh -hugs- I really wish I could love :( I miss you.,clear,Negative,Positive,Positive
Few-shot,15,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),clear,Positive,Negative,Negative
Few-shot,18,@EvaSpying My inner nerd shall not be tamed by your insidious logic. :D http://t.co/iS8BxMseYj,clear,Positive,Negative,Negative
Few-shot,20,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,clear,Negative,Positive,Positive
Few-shot,30,@MahamK97   I was just tired yesterday   Choroo ga nahi us ko :D,clear,Positive,Negative,Negative
Few-shot,37,"Not gonna lie, this slaps.",ambiguous,Positive,Negative,Negative
Few-shot,41,"@SachinKalbag Ah Sachin, why do you bring up unimportant stuff like context and dampen @saliltripathi 's excitement! :-)",clear,Positive,Negative,Negative
